Name;Price
COALINDIA;233.25
SBILIFE;1366.00
ADANIPORTS;792.70
POWERGRID;243.00
BAJAJFINSV;1525.00
BPCL;360.00
ADANIENT;2488.35
TATAMOTORS;610.60
HEROMOTOCO;3079.85
TATACONSUM;851.00
NTPC;218.45
BAJFINANCE;7200.00
DIVISLAB;3860.00
M&M;1505.00
SBIN;575.00
KOTAKBANK;1834.00
BRITANNIA;4619.90
ICICIBANK;974.95
CIPLA;1270.00
DRREDDY;5671.10
NESTLEIND;22280.00
SUNPHARMA;1151.15
HDFCBANK;1653.00
TATASTEEL;118.35
TECHM;1206.95
LT;2635.00
TITAN;2924.00
EICHERMOT;3375.00
HDFCLIFE;646.00
INDUSINDBK;1405.00
JSWSTEEL;801.70
ULTRACEMCO;8160.00
GRASIM;1844.95
BAJAJ-AUTO;4650.50
ONGC;173.35
HINDALCO;454.75
APOLLOHOSP;5023.35
HINDUNILVR;2565.85
ITC;452.35
MARUTI;9540.00
HCLTECH;1140.95
BHARTIARTL;885.00
UPL;604.00
AXISBANK;952.00
LTIM;5075.00
RELIANCE;2504.85
TCS;3464.90
WIPRO;415.50
INFY;1384.00
ASIANPAINT;3332.55
